Proteins,LFQ intensity 28a,LFQ intensity 28b,LFQ intensity 28c,LFQ intensity 28d,LFQ intensity 29a,LFQ intensity 29b,LFQ intensity 29c,LFQ intensity 29d,LFQ intensity 30a,LFQ intensity 30b,LFQ intensity 30c,LFQ intensity 30d,LFQ intensity 7a,LFQ intensity 7b,LFQ intensity 7c,LFQ intensity 7d,LFQ intensity CTLa,LFQ intensity CTLb,LFQ intensity CTLc,LFQ intensity CTLd
SNRNP70,38.14627662,37.15568333,38.48111261,38.71187123,37.88671897,37.07357588,38.21155088,38.18861566,38.82667045,37.97149432,38.18704902,39.51373628,37.54257895,37.05863593,38.02900407,38.96478721,28.56608924,28.56048794,28.42738363,31.50455295
ABHD12,27.53348789,24.61946909,24.22214042,0,27.64924499,22.92683599,0,0,28.06943067,0,25.82655605,0,27.86437386,25.12431508,25.22751195,0,25.80488963,0,0,0
GST,36.96688318,36.97053041,37.66943645,38.00692236,36.15784904,36.46136512,37.28243871,37.3094569,37.55649251,37.54646529,37.94021603,38.30894858,35.91416114,36.72288411,37.5621912,37.92503773,26.63381053,33.48363722,26.5165461,29.89951528
ACADSB,24.89910611,25.87680169,24.87937497,0,25.96435268,24.94342198,24.85262399,24.16829078,25.88446121,26.29265261,24.74509326,24.97762302,26.67788134,25.93332578,24.0822907,0,24.11195516,0,0,0
ACIN1,27.92886098,27.08962278,28.19891709,26.11747475,31.8677648,30.38339785,31.18139312,28.12376273,27.47676474,26.79451582,27.34891479,24.2084374,31.92648766,30.15569087,31.14916282,29.90841906,26.73724796,27.89654472,28.79804387,0
ACOT8,23.96199294,0,24.72863344,24.0997292,24.01546269,24.1375084,0,0,23.78576375,24.64597896,23.68528006,23.54108716,24.93889864,24.53457171,24.09410089,0,0,0,0,0
ADCK3,24.33381322,24.14367094,23.26627985,23.85908582,24.47963522,23.82677423,0,23.33783311,24.66003333,24.17820467,24.02791477,22.92248714,24.48099132,25.13461307,0,0,0,0,0,0
AFF4,28.91056497,25.25100587,23.38390043,23.04233269,28.16408543,25.83573953,0,0,28.09365773,24.57132168,20.9179431,22.99026604,26.65839979,25.48931561,22.27838366,0,0,0,0,0
AKAP17A,26.60893586,25.92458619,26.91570216,27.83599245,28.20643589,27.23544062,26.06767791,24.0071012,24.8190451,26.52732582,26.5568829,26.35813525,27.40649127,26.20235912,26.82189365,26.34614388,0,26.46040552,26.1120944,0
AKAP8,27.03915183,25.41751055,25.2643481,23.62912001,28.07193824,26.54005258,25.80146465,0,26.44881276,26.13233969,25.57256539,23.87079515,26.38858822,25.78745863,25.35477694,24.30521678,0,0,0,0
AKAP8L,28.28920854,28.01254594,27.21965023,27.14394336,27.60928821,28.00410317,26.15518419,25.84911967,28.57942269,28.30547774,27.89619824,27.8522787,27.99814217,27.49708959,26.29743604,25.94512016,24.35211834,26.6931198,0,0
ALDH3A2,29.11540242,26.71122227,0,21.89237679,30.04843233,25.89949799,24.81928879,24.66171939,29.70892253,26.08715591,24.23534932,0,30.04843233,27.0431216,24.79153812,24.38521784,26.69630749,25.38317534,0,0
ABCD3,24.65997891,0,0,25.32556816,25.89404819,0,0,27.0305481,25.68016398,0,24.67006621,23.84794967,24.96300788,23.39532179,0,25.93649686,26.40848485,0,0,0
ANKRD17,24.69625442,26.92025326,25.38287861,24.94167702,23.36866311,25.72847775,23.38876884,24.99731319,23.34827322,26.58749278,25.56383678,25.56569713,23.14345297,26.20333038,25.3848886,0,0,0,0,0
AQR,27.8086993,25.94815403,23.6841031,24.56185754,28.16274174,26.85078946,23.3280021,0,27.57708291,26.47215386,26.55743811,23.74868014,28.3451965,27.05775678,25.48185362,24.71675291,25.66174657,25.8931456,0,0
ACTC1,28.50657829,29.09270045,25.73368422,33.06552953,31.21007611,30.58468234,25.76260974,34.39151242,31.45777435,27.92331715,28.81586122,29.26241824,30.33862384,28.8382187,28.61565091,32.06181735,30.76856568,28.83430544,29.47022312,28.57978232
ARGLU1,31.02894234,28.35850419,29.50354869,30.20361509,32.35100212,29.47879088,30.39427532,30.9362104,28.52451141,28.19102939,27.36436099,29.06365696,32.39299686,29.30393306,29.14082696,31.66386321,26.26463445,24.6847452,25.58276381,25.83881979
ARHGEF2,28.9462865,28.86440338,28.15706524,27.55822672,28.22788831,27.82917204,26.15771098,26.53463108,28.61897925,27.9291997,27.85916878,27.50582149,27.59099369,29.26304539,26.91467619,26.92694002,27.71953641,26.26527852,25.02081246,0
ASCC1,26.99280474,26.75378884,26.16764018,25.72155859,26.89099099,26.97978295,25.36516236,25.33128655,27.28982416,26.93269523,26.36270676,0,27.05082098,26.68739085,25.75253888,25.84778245,26.34835765,0,0,0
ASCC2,26.99010154,25.01239675,24.74493934,0,26.56466551,23.91979879,25.28517416,0,26.28457421,24.07838669,25.39584475,23.30493838,26.4921154,25.90426122,24.41873331,0,23.96172805,25.14293127,0,0
ATXN2,27.45285492,26.4622324,26.66898494,26.10741249,27.51945857,26.58419847,26.6514365,24.84230123,26.82784042,25.82138279,26.82152877,27.19262919,27.75512688,26.99431632,26.93382102,26.87114778,0,0,0,0
ATXN2L,28.16614653,27.81561695,26.22418469,26.34509496,29.10226981,28.31233264,25.93802369,26.85816108,27.466066,25.94322074,25.05664102,26.59818316,29.10911269,29.15474975,26.25645116,26.42846228,27.10829026,26.28783565,26.95903229,0
